collection,version
AIRSM_CPR_MAT,3.2
AIRS_CPR_IND,4.0
AIRS_CPR_MAT,3.2
AIRS_MDS_IND,1.0
AIRS_MLS_IND,1.0
AIRVBQAP,005
AIRVBQAP_NRT,005
AIRVBRAD,005
AIRVBRAD_NRT,005
AIRX2RET,006
AIRX2RET,7.0
AIRX2SPC,005
AIRX2STC,005
AIRX2SUP,006
AIRX2SUP,7.0
AIRX3C28,005
AIRX3C2D,005
AIRX3C2M,005
AIRX3QP5,006
AIRX3QPM,006
AIRX3SP8,006
AIRX3SPD,006
AIRX3SPD,7.0
AIRX3SPM,006
AIRX3SPM,7.0
AIRX3ST8,006
AIRX3STD,006
AIRX3STD,7.0
AIRX3STM,006
AIRX3STM,7.0
AIRXAMAP,005
AIRXBCAL,005
AJAX_CH2O,1
AJAX_CO2_CH4,1
AJAX_MMS,1
AJAX_O3,1
AKFED_V1_1282,1
AKWANAVT,0
AK_North_Slope_NEE_CH4_Flux_1562,1
AK_Regional_CO2_Flux_1389,1
AK_Tundra_PFT_FractionalCover_1830,1
AK_Yukon_PFT_TopCover_2032,1.1
ALAN_VIIRS_CONUS,1
ALOS2_L1_PSR2,1
ALOS_AVNIR_OBS_ORI,2
ALOS_PSR_KMZ,1
ALOS_PSR_L1.0,1
ALOS_PSR_L1.1,1
ALOS_PSR_L1.5,1
ALOS_PSR_L2.2,1
ALOS_PSR_RTC_HIGH,1
ALOS_PSR_RTC_LOW,1
ALTIKA_SARAL_L2_OST_XOGDR,f
ALT_GPR_Barrow_1355,1
ALT_Maps_AK_CA_2332,1
ALT_Soil_Collection_Protocols_2373,1
ALT_TIDE_GAUGE_L4_OST_SLA_US_WEST_COAST,1
ALT_TIDE_GAUGE_L4_OST_SLA_US_WEST_COAST_DAILY,1
AM1ATTNF,1
AM1EPHN0,1
AM1EPHNE,6.1NRT
AMAZE-08_1308,1
AMDBLWV,1
AMDBLWV,2
AMLR,0
AMMA,0
AMMBLWV,1
AMMBLWV,2
AMSR-L1A,3
AMSR2-REMSS-L2P-v8.2,8.2
AMSR2-REMSS-L2P_RT-v8.2,8.2
AMSR2-REMSS-L3U-v8.2,8.2
AMSR2-REMSS-L3U-v8a,8a
AMSR2-REMSS-L3U_RT-v8.2,8.2
AMSR2-REMSS-L3U_RT-v8a,8a
AMSRE-REMSS-L2P-v7a,7a
AMSRE-REMSS-L3U-v7a,7a
AMSREL1A,3
AMSRERR_CPR,002
AMSRE_AVRMO,005
AMSRE_STDMO,005
AMT,0
ANACONDAS,0
ANT,0
ANTARCTICA_MASS_TELLUS_MASCON_CRI_TIME_SERIES_RL06.3_V4,RL06.3Mv04
ANTARES_Baja_California_Station,0
ANTARES_Ubatuba_Station,0
AOL,0
AOPEX,0
AOSNII,0
APPSS,0
AQ2_SM,5
AQ3_ANSM,5
AQ3_DYSM,5
AQ3_FT,5
AQ3_MCSM,5
AQ3_MOSM,5
AQ3_NRCS,5
AQ3_SCSM,5
AQ3_SNSM,5
AQ3_SSS,5
AQ3_TB,5
AQ3_WKSM,5
AQUALOOKS,0
AQUARIUS_ANCILLARY_CELESTIALSKY_V1,1
AQUARIUS_ANCILLARY_RFI_V1,1
AQUARIUS_L2_SSS_CAP_V5,5.0
AQUARIUS_L2_SSS_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_7DAY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_DAILY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_3MONTH_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_7DAY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_DAILY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_3MONTH_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_7DAY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_DAILY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_ANCILLARY_SST_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_7DAY_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_DAILY_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_DENSITY_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_DENSITY_SMID_3MONTH_V5,5.0
AQUARIUS_L3_DENSITY_SMID_7DAY_V5,5.0
AQUARIUS_L3_DENSITY_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_DENSITY_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_DENSITY_SMID_DAILY_V5,5.0
AQUARIUS_L3_DENSITY_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_DENSITY_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_DENSITY_SMI_3MONTH_V5,5.0
AQUARIUS_L3_DENSITY_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_DENSITY_SMI_7DAY_V5,5.0
AQUARIUS_L3_DENSITY_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_DENSITY_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_DENSITY_SMI_DAILY_V5,5.0
AQUARIUS_L3_DENSITY_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_DENSITY_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_DENSITY_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_7DAY_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_DAILY_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_SPICINESS_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_3MONTH_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_7DAY_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_DAILY_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_SPICINESS_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_3MONTH_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_7DAY_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_DAILY_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_SPICINESS_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_7DAY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_DAILY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_3MONTH_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_7DAY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_DAILY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_3MONTH_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_7DAY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_DAILY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SM_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SM_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_SSS-RainFlagged_SM_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_CAP_7DAY_V5,5.0
AQUARIUS_L3_SSS_CAP_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_RAINCORRECTED_CAP_7DAY_V5,5.0
AQUARIUS_L3_SSS_RAINCORRECTED_CAP_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_SSS_SMIA_7DAY_V5,5.0
AQUARIUS_L3_SSS_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_SSS_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS_SMIA_DAILY_V5,5.0
AQUARIUS_L3_SSS_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS_SMID_3MONTH_V5,5.0
AQUARIUS_L3_SSS_SMID_7DAY_V5,5.0
AQUARIUS_L3_SSS_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_SSS_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS_SMID_DAILY_V5,5.0
AQUARIUS_L3_SSS_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS_SMI_3MONTH_V5,5.0
AQUARIUS_L3_SSS_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_SSS_SMI_7DAY_V5,5.0
AQUARIUS_L3_SSS_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_SSS_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_SSS_SMI_DAILY_V5,5.0
AQUARIUS_L3_SSS_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_SSS_SM_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SM_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_SSS_SM_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_WIND_SPEED_CAP_7DAY_V5,5.0
AQUARIUS_L3_WIND_SPEED_CAP_MONTHLY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_3MONTH_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_7DAY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_ANNUAL_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_CUMULATIVE_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_DAILY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_MONTHLY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMIA_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_3MONTH_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_7DAY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_ANNUAL_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_CUMULATIVE_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_DAILY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_MONTHLY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMID_SEASONAL-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_28DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_3MONTH_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_7DAY-RUNNINGMEAN_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_7DAY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_ANNUAL_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_CUMULATIVE_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_DAILY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_MONTHLY-CLIMATOLOGY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_MONTHLY_V5,5.0
AQUARIUS_L3_WIND_SPEED_SMI_SEASONAL-CLIMATOLOGY_V5,5.0
